time,outletId,workStationId,userId,bill,action,url
13:44:05,Imperial Kitchen(15),0001,IT Melanie(1),,modalSwitchOutlet,http://localhost:4850/#/tables
13:44:06,Imperial Kitchen Delivery(1001),0001,IT Melanie(1),,Change Outlet to Imperial Kitchen Delivery,http://localhost:4850/#/tables
13:44:06,Imperial Kitchen Delivery(1001),0001,IT Melanie(1),,Change Map Delivery,http://localhost:4850/#/tables
13:44:08,Imperial Kitchen Delivery(1001),0001,IT Melanie(1),,modalSwitchOutlet,http://localhost:4850/#/tables
13:44:08,Imperial Kitchen(15),0001,IT Melanie(1),,Change Outlet to Imperial Kitchen,http://localhost:4850/#/tables
13:44:09,Imperial Kitchen(15),0001,IT Melanie(1),,Change Map Dine In,http://localhost:4850/#/tables
13:44:10,Imperial Kitchen(15),0001,IT Melanie(1),,modalSwitchOutlet,http://localhost:4850/#/tables
13:44:10,Imperial Kitchen Delivery(1001),0001,IT Melanie(1),,Change Outlet to Imperial Kitchen Delivery,http://localhost:4850/#/tables
13:44:14,Imperial Kitchen Delivery(1001),0001,IT Melanie(1),,Change Map Delivery,http://localhost:4850/#/tables
13:44:19,Imperial Kitchen Delivery(1001),0001,IT Melanie(1),,modalSwitchOutlet,http://localhost:4850/#/tables
13:44:21,Imperial Kitchen(15),0001,IT Melanie(1),,Change Outlet to Imperial Kitchen,http://localhost:4850/#/tables
13:44:22,Imperial Kitchen(15),0001,IT Melanie(1),,Change Map Dine In,http://localhost:4850/#/tables
13:44:24,Imperial Kitchen(15),0001,IT Melanie(1),,modalSwitchOutlet,http://localhost:4850/#/tables
13:45:28,Imperial Kitchen(15),0001,IT Melanie(1),,modalSwitchOutlet,http://localhost:4850/#/tables
13:45:29,Imperial Kitchen Delivery(1001),0001,IT Melanie(1),,Change Outlet to Imperial Kitchen Delivery,http://localhost:4850/#/tables
13:45:32,Imperial Kitchen Delivery(1001),0001,IT Melanie(1),,Change Map Delivery,http://localhost:4850/#/tables
13:45:32,Imperial Kitchen Delivery(1001),0001,IT Melanie(1),,modalSwitchOutlet,http://localhost:4850/#/tables
13:45:33,Imperial Kitchen(15),0001,IT Melanie(1),,Change Outlet to Imperial Kitchen,http://localhost:4850/#/tables
13:45:35,Imperial Kitchen(15),0001,IT Melanie(1),,Change Map Dine In,http://localhost:4850/#/tables
13:45:36,Imperial Kitchen(15),0001,IT Melanie(1),,modalSwitchOutlet,http://localhost:4850/#/tables
13:45:36,Imperial Kitchen Delivery(1001),0001,IT Melanie(1),,Change Outlet to Imperial Kitchen Delivery,http://localhost:4850/#/tables
13:46:41,Imperial Kitchen Delivery(1001),0001,IT Melanie(1),,modalSwitchOutlet,http://localhost:4850/#/tables
13:46:43,Imperial Kitchen(15),0001,IT Melanie(1),,Change Outlet to Imperial Kitchen,http://localhost:4850/#/tables
13:46:44,Imperial Kitchen(15),0001,IT Melanie(1),,Change Map Dine In,http://localhost:4850/#/tables
13:46:44,Imperial Kitchen(15),0001,IT Melanie(1),,modalSwitchOutlet,http://localhost:4850/#/tables
13:46:46,Imperial Kitchen Delivery(1001),0001,IT Melanie(1),,Change Outlet to Imperial Kitchen Delivery,http://localhost:4850/#/tables
13:47:13,Imperial Kitchen Delivery(1001),0001,IT Melanie(1),,Change Map Delivery,http://localhost:4850/#/tables
13:47:14,Imperial Kitchen Delivery(1001),0001,IT Melanie(1),,Change Map Delivery,http://localhost:4850/#/tables
13:48:03,Imperial Kitchen Delivery(1001),0001,IT Melanie(1),,modalSwitchOutlet,http://localhost:4850/#/tables
13:48:04,Imperial Kitchen(15),0001,IT Melanie(1),,Change Outlet to Imperial Kitchen,http://localhost:4850/#/tables
13:48:09,Imperial Kitchen(15),0001,IT Melanie(1),,modalSwitchOutlet,http://localhost:4850/#/tables
13:48:09,Imperial Kitchen Delivery(1001),0001,IT Melanie(1),,Change Outlet to Imperial Kitchen Delivery,http://localhost:4850/#/tables
13:48:37,Imperial Kitchen Delivery(1001),0001,IT Melanie(1),,modalSwitchOutlet,http://localhost:4850/#/tables
13:48:38,Imperial Kitchen(15),0001,IT Melanie(1),,Change Outlet to Imperial Kitchen,http://localhost:4850/#/tables
13:48:39,Imperial Kitchen(15),0001,IT Melanie(1),,Change Map Dine In,http://localhost:4850/#/tables
13:48:39,Imperial Kitchen(15),0001,IT Melanie(1),,modalSwitchOutlet,http://localhost:4850/#/tables
13:48:40,Imperial Kitchen Delivery(1001),0001,IT Melanie(1),,Change Outlet to Imperial Kitchen Delivery,http://localhost:4850/#/tables
13:48:42,Imperial Kitchen Delivery(1001),0001,IT Melanie(1),,Change Map Delivery,http://localhost:4850/#/tables
13:48:42,Imperial Kitchen Delivery(1001),0001,IT Melanie(1),,modalSwitchOutlet,http://localhost:4850/#/tables
13:48:43,Imperial Kitcehn DH(1002),0001,IT Melanie(1),,Change Outlet to Imperial Kitcehn DH,http://localhost:4850/#/tables
13:48:50,Imperial Kitcehn DH(1002),0001,IT Melanie(1),,modalSwitchOutlet,http://localhost:4850/#/tables
13:49:01,Imperial Kitcehn DH(1002),0001,IT Melanie(1),,Change View to table,http://localhost:4850/#/tables
13:49:02,Imperial Kitcehn DH(1002),0001,IT Melanie(1),,Change View to map,http://localhost:4850/#/tables
13:49:23,Imperial Kitcehn DH(1002),0001,IT Melanie(1),,items,http://localhost:4850/#/tables
13:49:36,Imperial Kitcehn DH(1002),0001,IT Melanie(1),,items,http://localhost:4850/#/tables
13:50:50,Imperial Kitcehn DH(1002),0001,IT Melanie(1),,Go to Adjustment Items,http://localhost:4850/#/tables
